01003,4523
01011,1065
01021,8262
01058,3440
01072,1031
01120,2627
01125,1705
01131,11716
01142,9435
01195,6102
01212,1265
02001,3813
02007,2570
02009,16005
02012,3285
02017,1323
02020,3209
02021,3726
02024,454
02025,1043
02027,2055
02032,2158
02034,3654
02036,791
02037,12392
02039,929
02040,2689
02044,16536
02048,2378
02049,6390
02051,2067
02052,3071
02053,2088
02054,2291
02058,692
02059,1844
02060,2720
02064,2438
03008,1937
03027,12911
03054,11271
03144,2406
03157,4928
03169,2250
03210,1681
03225,13446
04010,9895
04014,1812
04029,1756
04060,885
04063,9797
04080,4170
05001,4777
05002,6901
05003,14020
05004,2841
05006,4266
05007,6996
05010,20924
05011,12766
05013,6354
05014,10521
05015,9355
05017,4521
05018,2829
05020,22184
05022,3412
05023,33121
05025,36860
05028,45852
05030,6829
05033,6486
05034,1297
05035,3756
05036,6954
05038,5735
05039,12791
05040,6887
05041,14483
05043,4141
05044,2332
05045,2060
05046,1725
05048,1837
05049,8684
05050,2015
05052,3206
05053,4963
05054,10415
05055,6083
05056,2543
05057,16750
05058,3072
05062,11456
05068,14647
05069,12201
05071,14149
05074,1740
05075,69121
05083,2157
05084,5009
05086,25006
05087,21448
05088,39517
05092,3888
05094,6228
05096,4288
05099,4081
05100,10225
05101,14625
05102,2723
05103,8534
05104,6805
05105,3528
05106,1699
05107,1766
05109,19124
05111,32590
05114,13982
05115,2922
05116,26798
05117,2314
05118,5695
05120,27705
05121,9129
05122,2000
05123,7024
05127,12779
05128,1136
05129,43035
05131,7607
05133,39161
05135,3457
05138,2173
05141,2782
05142,1511
05145,5194
05146,7450
05147,13000
05148,2564
05149,2253
06167,49161
07036,5687
07046,2415
07055,7061
07057,6178
08010,6529
08023,3620
08069,1657
09002,5150
09014,17979
09016,4341
09017,1978
09025,1981
09030,13695
10060,5239
10071,9716
11003,22634
11007,3214
11039,5750
12012,3156
12035,8276
12054,16979
12116,2197
12162,24586
13003,483
13011,1276
13031,7579
13036,1236
13038,961
13046,2277
13050,1056
14012,1499
14014,1771
14021,4592
14022,1530
14040,3296
15030,849
15123,4466
15135,2934
15149,1693
15177,15574
16001,3336
16007,3384
16008,17028
16041,2540
16057,1815
17063,48440
18011,1619
18026,3920
18072,1407
18081,1764
18095,2937
19003,2315
19007,1216
19011,3080
19012,1138
19018,4461
19024,14654
19034,4509
19036,1096
19039,4241
19040,11745
19043,5596
19044,28053
19045,6442
19047,7931
19069,2725
19073,1053
19074,2718
19079,2636
19081,3349
19083,3194
19091,3701
19094,3112
19099,2082
19100,2513
19101,7998
19104,9320
19111,6371
19114,5019
19116,2259
19117,875
19123,8161
19125,4915
20023,3989
20119,12205
20139,4242
20285,2582
21001,965
21002,2378
21003,1529
21012,2495
21018,9450
21019,3299
21025,18660
21027,3933
21043,1811
21045,2476
21046,3239
21047,2751
21053,1172
21056,2120
21067,12987
22002,1145
22009,3893
22051,1412
22056,15348
22111,994
22124,1945
23006,3170
23007,8524
23019,1395
23025,10192
23035,3925
23040,3325
23044,4898
23051,2057
24011,1516
24046,3189
24052,4640
24054,15707
25009,7284
25017,1300
25018,5391
25021,2533
25033,1497
25034,1253
25037,5283
25065,1669
25071,6701
25072,2332
26003,3229
26010,1792
26011,2285
26026,3148
26035,15559
26048,1335
26059,1369
26062,8033
26063,1153
26066,3898
27005,1434
27057,13823
27093,2002
27098,2972
27112,23465
28014,4799
28016,1247
28017,2334
28018,3934
28034,10368
28046,1353
28054,1938
28055,11531
28066,2738
28090,2182
29006,1579
29015,4360
29018,7602
29022,4008
29024,4518
29033,1397
29042,4354
29044,1685
29045,6797
29061,8887
29075,2698
29077,1477
29082,17211
29085,10680
29090,1612
29096,2021
29098,1681
29113,1679
29116,615
30008,1668
30030,3678
30048,5734
30088,973
30096,2530
30104,3711
30115,882
30128,18557
30134,11020
31013,7700
31018,4855
31032,3392
31081,37466
31152,13554
31154,4446
32008,10178
32019,9273
33001,2069
33009,1521
33033,2039
33045,3034
33049,4273
33053,3603
33056,12545
33062,5358
33066,577
33067,4012
33070,2079
33074,2166
33094,672
34005,3781
34006,2181
34008,1725
34019,1654
34020,6653
34022,2984
34026,5815
34031,1734
34032,1502
34033,2200
34036,9746
34037,4145
35014,10900
35057,12233
35071,9898
36031,1149
36044,2246
36074,3104
36084,2022
36088,22288
36104,2745
36135,2160
36160,1520
36166,7424
36173,1444
36207,666
36240,2563
37001,2539
37009,4401
37019,1935
37026,12053
38029,11438
39019,22739
39030,3447
39031,2444
39035,621
40016,3961
40038,1242
40048,2060
40050,10791
40054,875
40058,1239
40061,4142
41012,2525
41026,2220
41028,4968
41031,4128
41041,1515
41050,4642
41082,1572
41108,1028
41109,2452
41111,12759
41114,1936
41129,2069
42002,4206
42017,22732
42022,9803
43040,4075
44121,23018
45001,813
45027,840
45081,4355
45103,1001
45125,651
45130,28000
46007,12916
46020,6357
46023,16258
46079,1688
46089,9596
46099,29663
46102,11821
46155,2100
46174,3248
47002,863
47011,7932
47013,3192
47022,789
47031,1228
47043,1654
47044,2484
47046,651
47065,1152
47070,414
47087,4140
47089,8216
48003,931
48004,779
48009,10660
48032,3429
48042,1953
48077,2967
48091,5494
49040,7986
49057,18971
49063,2103
49069,18612
50074,8181
50089,3708
50090,7721
50094,3644
50110,3844
50134,3446
50150,15427
51004,27452
51010,9402
51011,22026
51013,10220
51020,26060
51025,3982
51040,15278
